stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_timezone
NEME,NEME,Nemegos,,47.72532,-83.20261699999999,Canada/Eastern
DEVN,DEVN,Devon,,47.759732,-83.36704,Canada/Eastern
CHAP,CHAP,Chapleau,,47.841444,-83.40312999999999,Canada/Eastern
ESHR,ESHR,Esher,,47.852356,-83.563047,Canada/Eastern
MUSK,MUSK,Musk,,47.949026,-83.707179,Canada/Eastern
NICH,NICH,Nicholson,,47.957417,-83.765483,Canada/Eastern
BOLK,BOLK,Bolkow,,48.108349,-83.909323,Canada/Eastern
DALT,DALT,Dalton,,48.158228,-84.034513,Canada/Eastern
MSBI,MSBI,Missanabie,,48.311259,-84.08487099999999,Canada/Eastern
LOCH,LOCH,Lochalsh,,48.351378,-84.264006,Canada/Eastern
FRNZ,FRNZ,Franz,,48.465157,-84.41207299999999,Canada/Eastern
SWAN,SWAN,Swanson,,48.4828215,-84.5348451,Canada/Eastern
GIRD,GIRD,Girdwood,,48.457978,-84.77104399999999,Canada/Eastern
AMYO,AMYO,Amyot,,48.4828773,-84.9541218,Canada/Eastern
OBRI,OBRI,O'Brien,,48.517478,-85.13911499999999,Canada/Eastern
WHTR,WHTR,White River,,48.5893097,-85.2823295,Canada/Eastern
HRVY,HRVY,Harvey,,52.9583306,-119.4468276,Canada/Pacific
DNST,DNST,Dunster,,53.123413,-119.837813,Canada/Pacific
MCBR,MCBR,McBride,,53.300555,-120.1703,Canada/Pacific
GOAT,GOAT,Goat River,,53.537695,-120.592519,Canada/Pacific
LOOS,LOOS,Loos,,53.607823,-120.723372,Canada/Pacific
DOMC,DOMC,Dome Creek,,53.748105,-121.0299259,Canada/Pacific
BEND,BEND,Bend,,53.76734099999999,-121.065261,Canada/Pacific
PENN,PENN,Penny,,53.842544,-121.28936,Canada/Pacific
LWTH,LWTH,Longworth,,53.922269,-121.4634939,Canada/Pacific
HUTT,HUTT,Hutton,,53.988689,-121.6216311,Canada/Pacific
SINM,SINM,Sinclair Mills,,54.019372,-121.678516,Canada/Pacific
MCGR,MCGR,McGregor,,54.076925,-121.843477,Canada/Pacific
UFRZ,UFRZ,Upper Frazer,,54.120005,-121.9466481,Canada/Pacific
ALZL,ALZL,Aleza Lake,,54.114831,-122.0551291,Canada/Pacific
WILR,WILR,Willow River,,54.073935,-122.477345,Canada/Pacific
PGEO,PGEO,Prince George,,53.9191732,-122.7442251,Canada/Pacific
VDRH,VDRH,Vanderhoof,,54.01459699999999,-124.012017,Canada/Pacific
FFRA,FFRA,Fort Fraser,,54.05841599999999,-124.5542239,Canada/Pacific
ENDA,ENDA,Endako,,54.08525299999999,-125.021369,Canada/Pacific
BRNL,BRNL,Burns Lake,,54.22897099999999,-125.764128,Canada/Pacific
HOUS,HOUS,Houston,,54.400327,-126.650353,Canada/Pacific
TELK,TELK,Telkwa,,54.6914023,-127.0505338,Canada/Pacific
SMTR,SMTR,Smithers,,54.777708,-127.1762189,Canada/Pacific
NHAZ,NHAZ,New Hazelton,,55.25068,-127.578331,Canada/Pacific
KITW,KITW,Kitwanga,,55.09937069999999,-128.0514937,Canada/Pacific
CEDA,CEDA,Cedarvale,,55.020764,-128.3231919,Canada/Pacific
DORR,DORR,Dorreen,,54.840788,-128.343892,Canada/Pacific
PACI,PACI,Pacific,,54.770815,-128.272199,Canada/Pacific
USKX,USKX,Usk,,54.636477,-128.4160139,Canada/Pacific
TRRC,TRRC,Terrace,,54.514657,-128.5868681,Canada/Pacific
KWIN,KWIN,Kwinitsa,,54.225714,-129.555598,Canada/Pacific
CASS,CASS,Cassiar Cannery,,54.1780217,-130.1763966,Canada/Pacific
PRUP,PRUP,Prince Rupert,,54.29587189999999,-130.3519599,Canada/Pacific
GSTO,GSTO,Gladstone,,50.225207,-98.947926,Canada/Central
PLUM,PLUM,Plumas,,50.384383,-99.08946499999999,Canada/Central
GLNA,GLNA,Glenella,,50.556422,-99.19520399999999,Canada/Central
MCCR,MCCR,McCreary,,50.773606,-99.48946300000001,Canada/Central
LRIE,LRIE,Laurier,,50.886316,-99.56062899999999,Canada/Central
OCHR,OCHR,Ochre River,,51.06139890000001,-99.7818674,Canada/Central
DAUP,DAUP,Dauphin,,51.150241,-100.052322,Canada/Central
GLBP,GLBP,Gilbert Plains,,51.147783,-100.490539,Canada/Central
GVIE,GVIE,Grandview,,51.173255,-100.701194,Canada/Central
RBLN,RBLN,Roblin,,51.230314,-101.352571,Canada/Central
TOGO,TOGO,Togo,,51.403019,-101.58655,Canada/Saskatchewan
KAMS,KAMS,Kamsack,,51.5617752,-101.9036328,Canada/Saskatchewan
VERE,VERE,Veregin,,51.58149299999999,-102.077952,Canada/Saskatchewan
MIKA,MIKA,Mikado,,51.609902,-102.270528,Canada/Saskatchewan
